study	Stephan Comments	platform	location	rundate	fhet-th	hwe-th-ca	hwe-th-co	la1000_fifi:	la1000_postqc:	la1000_preqc:	lambda_fifi	lambda_postqc	lambda_preqc	lmiss-th	midi-th	miss-th	ncases_postqc	ncases_preqc	ncontrols_postqc	ncontrols_preqc	ngenotypes_postqc	nidex_fhet	nidex_fhet_cases	nidex_fhet_controls	nidex_miss	nidex_miss_cases	nidex_miss_controls	nidex_miss_hafi_noex	nidex_sexcheck_ex	nidex_sexcheck_undefined_ped	nidex_sexcheck_undefined_snp	nidex_sexcheck_warni	nnopt_postqc	nnopt_preqc	nobs_fifi_maf02:	nobs_postqc_maf02:	nobs_preqc_maf02:	nsnpex_hwe-ca	nsnpex_hwe-co	nsnpex_midi	nsnpex_miss	nsnpex_mono	nsnpex_prefilter	nsnpex_prekno	nsnpex_prekno_autosomes	nsnpin_prekno	nsnps_postqc	nsnps_preqc	p_imiss_caco_fifi	p_imiss_caco_postqc	p_imiss_caco_preqc	withpna
aut_ag1b_eur_sr	trios	I550	/psych/genetics_data/ripke/pgc/aut/1214_trios2caco/merge_caco_postqc/preimp_0115a/qc	Fri_Jan__2_13:29:26_2015	0.2	-10	-6	1.235	1.235	1.236	1.415	1.415	1.418	0.02	0.02	0.02	1326	1329	2651	2651	1781461357	0	0	0	3	3	0	3	0	0	0	0	0	0	437528	437437	437626	0	0	93	98	0	0	1	1	0	447941	448132	2.4e-11	1.3e-11	4.9e-11	0
aut_ag1c_eur_sr	trios	I550	/psych/genetics_data/ripke/pgc/aut/1214_trios2caco/merge_caco_postqc/preimp_0115a/qc/pcain/qc	Fri_Jan__2_18:36:36_2015	0.2	-10	-6	1.184	1.184	1.185	1.316	1.316	1.318	0.02	0.02	0.02	1272	1275	2648	2648	1755869920	0	0	0	3	3	0	3	0	0	0	0	0	0	437548	437451	437654	0	0	99	106	1	0	0	0	0	447926	448132	7.2e-11	3.4e-11	1.4e-10	0
aut_ag1e_eur_sr	trios	OMEX	/psych/genetics_data/ripke/pgc/aut/1214_trios2caco/merge_caco_postqc/preimp_0115b/qc/pca_preimp/qc	Thu_Jan_22_10:22:53_2015	0.2	-10	-6	1.083	1.082	1.083	1.099	1.098	1.099	0.02	0.02	0.02	879	879	1835	1835	1203520586	0	0	0	0	0	0	0	0	0	0	0	0	0	423625	423148	423722	0	65	432	96	298	12	0	0	0	443449	444347	0	0	0	0
aut_ag2b_eur_sr	trios	I550	/psych/genetics_data/ripke/pgc/aut/1214_trios2caco/merge_caco_postqc/preimp_0115a/qc	Fri_Jan__2_13:29:26_2015	0.2	-10	-6	2.195	2.193	2.224	2.623	2.621	2.669	0.02	0.02	0.02	938	943	2462	2462	1691931800	0	0	0	5	5	0	5	0	9	2	11	0	0	474647	473181	474661	0	0	1491	14	18	0	175	164	0	497627	499150	0	0	0	0
aut_ag2c_eur_sr	trios	I550	/psych/genetics_data/ripke/pgc/aut/1214_trios2caco/merge_caco_postqc/preimp_0115a/qc/pcain/qc	Fri_Jan__2_18:36:36_2015	0.2	-10	-6	1.196	1.196	1.196	1.242	1.241	1.242	0.02	0.02	0.02	822	825	2460	2460	1632233778	0	0	0	3	3	0	3	0	9	0	9	0	0	474604	473167	474641	0	1	1461	38	321	0	14	14	0	497329	499150	0	0	0	0
aut_ag2d_eur_sr	trios	I550	/psych/genetics_data/ripke/pgc/aut/1214_trios2caco/merge_caco_postqc/preimp_0115a/qc/pcain/qc/rework_jhu3_ag2c/pcain/qc	Sat_Jan__3_19:27:39_2015	0.2	-10	-6	1.124	1.124	1.124	1.142	1.142	1.142	0.02	0.02	0.02	748	748	2420	2420	1573589952	0	0	0	0	0	0	0	0	9	0	9	0	0	473096	472925	473104	0	0	177	8	427	0	0	0	0	496714	497325	0	0	0	0
aut_ag2f_eur_sr	trios	OMEX	/psych/genetics_data/ripke/pgc/aut/1214_trios2caco/merge_caco_postqc/preimp_0115b/qc/pca_preimp/qc	Thu_Jan_22_10:22:53_2015	0.2	-10	-6	1.238	1.238	1.240	1.196	1.196	1.198	0.02	0.02	0.02	751	751	915	915	882931686	0	0	0	0	0	0	0	0	0	0	0	0	0	484901	481658	486439	0	92	3430	1513	8035	168	1	1	0	529971	543162	0	0	0	0
aut_aut1_eur_sr	trios	I550	/psych/genetics_data/ripke/pgc/aut/1214_trios2caco/merge_caco_postqc/pcaer_agp1b_cc.ch.fl/pcain/qc	Thu_Jan_22_04:36:31_2015	0.2	-10	-6	1.024	1.024	1.024	1.026	1.026	1.026	0.02	0.02	0.02	1064	1065	1065	1065	947121843	0	0	0	1	1	0	1	0	0	0	0	0	0	434236	433996	434340	0	1	244	105	22	0	0	0	0	444867	445239	7.6e-08	4.6e-08	1.6e-07	0
aut_cho2_eur_sr	trios	I550	/psych/genetics_data/ripke/pgc/aut/1214_trios2caco/merge_caco_postqc/preimp_0115a/qc	Fri_Jan__2_13:29:26_2015	0.2	-10	-6	1.338	1.338	1.339	1.431	1.431	1.432	0.02	0.02	0.02	976	976	1841	1841	1319240538	0	0	0	0	0	0	0	0	0	0	0	0	0	464013	463878	464460	0	2	133	449	0	0	0	0	0	468314	468898	0	0	0	0
aut_cho3_eur_sr	trios	I550	/psych/genetics_data/ripke/pgc/aut/1214_trios2caco/merge_caco_postqc/preimp_0115a/qc/pcain/qc	Fri_Jan__2_18:36:36_2015	0.2	-10	-6	1.338	1.338	1.338	1.430	1.430	1.431	0.02	0.02	0.02	976	976	1833	1833	1315519307	0	0	0	0	0	0	0	0	0	0	0	0	0	463961	463828	464401	0	2	131	442	0	0	0	0	0	468323	468898	0	0	0	0
aut_cho5_eur_sr	trios	I550	/psych/genetics_data/ripke/pgc/aut/1214_trios2caco/merge_caco_postqc/preimp_0115b/qc/pca_preimp/qc	Thu_Jan_22_10:22:53_2015	0.2	-10	-6	1.495	1.495	1.495	1.384	1.384	1.384	0.02	0.02	0.02	694	694	880	880	459438008	0	0	0	0	0	0	0	0	0	0	0	0	0	289412	288693	289467	0	14	711	50	0	5	0	0	0	291892	292669	0	0	0	0
aut_fin2_eur_sr	trios	I317	/psych/genetics_data/ripke/pgc/aut/wave2_reimp_0115/qc	Sun_Jan__4_04:41:11_2015	0.2	-10	-6	1.468	1.464	1.500	1.118	1.117	1.133	0.02	0.02	0.02	166	175	526	553	204194668	0	0	0	32	5	27	35	4	0	1	1	0	0	295331	292858	304702	7	15	2485	7085	70	2365	0	0	0	295079	307098	0.0024	0.00083	0	0
aut_jhu2_eur_sr	trios	A5.0	/psych/genetics_data/ripke/pgc/aut/1214_trios2caco/merge_caco_postqc/preimp_0115a/qc	Fri_Jan__2_13:29:26_2015	0.2	-10	-6	3.060	3.060	3.060	4.502	4.502	4.502	0.02	0.02	0.02	1403	1403	2157	2157	1022179240	0	0	0	0	0	0	0	0	0	0	0	0	0	282118	281949	282131	4	8	162	13	0	0	1	1	0	287129	287316	0.11	0.096	0.11	0
aut_jhu3_eur_sr	trios	A5.0	/psych/genetics_data/ripke/pgc/aut/1214_trios2caco/merge_caco_postqc/preimp_0115a/qc/pcain/qc	Fri_Jan__2_18:36:36_2015	0.2	-10	-6	1.473	1.473	1.473	1.735	1.735	1.735	0.02	0.02	0.02	1216	1216	2157	2157	968445641	0	0	0	0	0	0	0	0	0	0	0	0	0	282114	281936	282131	0	8	174	17	0	0	1	1	0	287117	287316	0.095	0.095	0.11	0
aut_jhu4_eur_sr	trios	A5.0	/psych/genetics_data/ripke/pgc/aut/1214_trios2caco/merge_caco_postqc/preimp_0115a/qc/pcain/qc/rework_jhu3_ag2c/pcain/qc	Sat_Jan__3_19:27:39_2015	0.2	-10	-6	1.393	1.393	1.393	1.577	1.577	1.577	0.02	0.02	0.02	1115	1115	2145	2145	935848200	0	0	0	0	0	0	0	0	0	0	0	0	0	281953	281913	281959	0	1	39	6	0	0	0	0	0	287070	287116	0.064	0.064	0.064	0
aut_mob2_eur_sr	trios	A5.0	/psych/genetics_data/ripke/pgc/aut/1214_trios2caco/merge_caco_postqc/preimp_0115a/qc	Fri_Jan__2_13:29:26_2015	0.2	-10	-6	2.268	2.268	2.268	1.283	1.283	1.283	0.02	0.02	0.02	144	144	496	496	182387840	0	0	0	0	0	0	0	0	0	0	0	0	0	278799	278286	279010	0	0	522	216	0	0	0	0	0	284981	285719	0.26	0.26	0.19	0
aut_mob3_eur_sr	trios	A5.0	/psych/genetics_data/ripke/pgc/aut/1214_trios2caco/merge_caco_postqc/preimp_0115a/qc/pcain/qc	Fri_Jan__2_18:36:36_2015	0.2	-10	-6	1.913	1.913	1.913	1.196	1.196	1.196	0.02	0.02	0.02	137	137	496	496	180394872	0	0	0	0	0	0	0	0	0	0	0	0	0	278799	278288	279010	0	0	519	216	0	0	0	0	0	284984	285719	0.2	0.2	0.14	0
aut_pnc3_eur_sr	trios	I550	/psych/genetics_data/elise/new_ASD/PNC/for_Stephan/PNC_correctedDec16/qc	Wed_Jan_20_10:13:36_2016	0.2	-10	-6	1.022	1.000	0.884	1.003	1.000	0.965	0.02	0.02	0.02	69	155	2957	6122	1299394660	12	1	11	149	2	147	175	3173	0	807	807	0	0	508353	426125	532174	1	79755	3122	8942	5	14876	0	0	0	429410	535522	0.11	0.0084	2.8e-05	0
aut_pnc3b_eur_sr	trios	I550	/psych/genetics_data/elise/new_ASD/PNC/for_Stephan/PNC_correctedDec16/updatedfam/qc	Fri_Jan_22_06:09:42_2016	0.2	-10	-6	5.321	2.923	5.210	2.281	1.570	2.273	0.02	0.02	0.02	152	155	5970	6122	2400840252	12	0	12	152	3	149	156	0	0	43	43	0	0	518652	388959	532203	19	129284	749	9288	6	4232	1	1	0	392166	535522	0.23	0.12	0.87	0
aut_pnci_eur_sr	trios	I550	/psych/genetics_data/ripke/pgc/aut/pnc/qc	Mon_Nov__9_10:59:44_2015	0.2	-10	-6	1.299	1.190	1.261	1.088	1.056	1.079	0.02	0.02	0.02	151	155	5765	5959	947547972	59	2	55	156	2	150	3929	0	0	0	0	158	163	485518	160122	522472	3054	325121	928	8904	0	28049	0	0	0	160167	522532	0.72	0.49	0.67	0
aut_pnco_eur_sr	trios	OMEX	/psych/genetics_data/ripke/pgc/aut/pnc/qc	Mon_Nov__9_10:59:44_2015	0.2	-10	-6	2.148	1.928	1.123	1.047	1.038	1.018	0.02	0.02	0.02	21	77	809	1559	546766650	2	0	2	5	0	5	5	818	0	399	399	7	21	634217	601140	662412	0	20127	16174	8018	9022	22189	151	149	0	658755	733202	0.68	0	5.2e-05	0
aut_pnco_eur_sr	trios	OMEX	/psych/genetics_data/elise/new_ASD/PNC/for_Stephan/PNC_correctedDec16/qc	Wed_Jan_20_10:13:36_2016	0.2	-10	-6	0.761	0.791	1.054	0.984	0.986	1.008	0.02	0.02	0.02	35	77	772	1580	543894597	2	0	2	5	0	5	5	849	0	215	215	0	0	641835	618399	662932	0	4988	20925	7473	8915	17573	17	17	0	673971	733202	0.06	0	0.00022	0
aut_pnco2_eur_sr	trios	OMEX	/psych/genetics_data/elise/new_ASD/PNC/for_Stephan/PNC_correctedDec16/updatedfam/qc	Fri_Jan_22_06:09:42_2016	0.2	1e-10	1e-06	2.308	2.110	2.362	1.192	1.163	1.200	0.02	0.02	0.02	77	77	1575	1580	1149630104	2	0	2	5	0	5	5	0	0	0	0	0	0	652620	637032	663534	2	12532	4173	7689	8792	4363	1	1	0	695902	733202	0.77	0.0076	0.9	0
aut_s2m2_eur_sr	trios	Il1M	/psych/genetics_data/ripke/pgc/aut/1214_trios2caco/merge_caco_postqc/preimp_0115a/qc	Fri_Jan__2_13:29:26_2015	0.2	-10	-6	2.782	2.780	2.784	1.876	1.875	1.883	0.02	0.02	0.02	397	397	645	657	847526330	0	0	0	12	0	12	12	0	0	0	0	0	0	803167	797245	812263	0	111	5927	7884	1	1903	16	12	0	813365	829152	0	9.4e-14	0	0
aut_s2m3_eur_sr	trios	Il1M	/psych/genetics_data/ripke/pgc/aut/1214_trios2caco/merge_caco_postqc/preimp_0115a/qc/pcain/qc	Fri_Jan__2_18:36:36_2015	0.2	-10	-6	1.120	1.118	1.135	1.054	1.053	1.061	0.02	0.02	0.02	344	344	644	656	803330944	0	0	0	12	0	12	12	0	0	0	0	0	0	802602	796937	812235	0	105	5670	8265	1	2059	14	13	0	813088	829152	0	0	0	0
aut_s2m4_eur_sr	trios	Il1M	/psych/genetics_data/ripke/pgc/aut/1214_trios2caco/merge_caco_postqc/preimp_0115a/qc/pcain/qc/rework_s2m3_scm3/qc	Sat_Jan__3_10:18:33_2015	0.2	-10	-6	1.118	1.118	1.118	1.053	1.053	1.053	0.02	0.02	0.02	344	344	644	644	803316124	0	0	0	0	0	0	0	0	0	0	0	0	0	796933	796933	796933	0	0	0	0	0	0	0	0	0	813073	813073	0	0	0	0
aut_scd2_eur_sr	trios	I550	/psych/genetics_data/ripke/pgc/aut/1214_trios2caco/merge_caco_postqc/preimp_0115a/qc	Fri_Jan__2_13:29:26_2015	0.2	-10	-6	3.309	3.309	3.306	3.400	3.400	3.399	0.02	0.02	0.02	817	818	1429	1429	941154856	0	0	0	1	1	0	1	0	0	0	0	0	0	416784	415351	416791	2	0	1438	7	0	0	0	0	0	419036	420483	0	0	0	0
aut_scd3_eur_sr	trios	I550	/psych/genetics_data/ripke/pgc/aut/1214_trios2caco/merge_caco_postqc/preimp_0115a/qc/pcain/qc	Fri_Jan__2_18:36:36_2015	0.2	-10	-6	1.240	1.239	1.239	1.220	1.219	1.219	0.02	0.02	0.02	675	676	1419	1419	877545144	0	0	0	1	1	0	1	0	0	0	0	0	0	416633	415236	416637	1	0	1402	4	0	0	0	0	0	419076	420483	0	0	0	0
aut_scm11_eur_sr	trios	Il1M	/psych/genetics_data/elise/new_ASD/SSC/parents_and_proband/autosomes/qc	Thu_Jan_14_06:03:49_2016	0.2	-10	-6	1.061	1.059	1.063	1.027	1.026	1.028	0.02	0.02	0.02	333	335	665	666	971593918	0	0	0	3	0	0	1001	0	0	6	6	0	0	865517	857705	877465	1304	5560	0	9588	50933	30366	9	0	0	973541	1072814	1	1	1	0
aut_scm1a_eur_sr	trios	Il1M	/psych/genetics_data/elise/new_ASD/SSC/norelationship/autosomes/qc	Thu_Jan_14_06:16:45_2016	0.2	-10	-6	-0.108	-0.106	-0.107	0.444	0.445	0.442	0.02	0.02	0.02	333	335	1016	1019	1314646366	0	0	0	5	2	3	1354	0	0	9	9	0	0	865035	857135	877056	225	9407	132	9510	48821	30415	6	0	0	974534	1072814	0.6	0.83	0	0
aut_scm2_eur_sr	trios	Il1M	/psych/genetics_data/ripke/pgc/aut/1214_trios2caco/merge_caco_postqc/preimp_0115a/qc	Fri_Jan__2_13:29:26_2015	0.2	-10	-6	2.849	2.846	2.850	1.907	1.906	1.910	0.02	0.02	0.02	399	399	637	641	814721796	0	0	0	4	0	4	4	0	0	0	0	0	0	743784	741573	748809	4	124	2214	4020	504	958	9	9	0	786411	794208	2.7e-09	3e-06	0	0
aut_scm3_eur_sr	trios	Il1M	/psych/genetics_data/ripke/pgc/aut/1214_trios2caco/merge_caco_postqc/preimp_0115a/qc/pcain/qc	Fri_Jan__2_18:36:36_2015	0.2	-10	-6	1.276	1.276	1.282	1.125	1.125	1.128	0.02	0.02	0.02	352	352	637	641	774254474	0	0	0	4	0	4	4	0	0	0	0	0	0	743527	741475	748809	1	115	2042	4164	3970	1077	6	6	0	782866	794208	8.2e-12	5.3e-08	0	0
aut_scm31_eur_sr	trios	Il1M	/psych/genetics_data/elise/new_ASD/SSC/parents_and_proband/autosomes/qc	Thu_Jan_14_06:03:49_2016	0.2	-10	-6	1.008	1.007	1.012	1.012	1.011	1.019	0.02	0.02	0.02	1191	1193	2376	2378	3697480860	0	0	0	0	0	0	3571	2	0	22	22	0	0	953196	911882	969712	16220	40001	0	10648	47808	56290	16	0	0	1036580	1199033	1	1	1	0
aut_scm3a_eur_sr	trios	Il1M	/psych/genetics_data/elise/new_ASD/SSC/norelationship/autosomes/qc	Thu_Jan_14_06:16:45_2016	0.2	-10	-6	0.678	0.678	0.678	0.430	0.431	0.430	0.02	0.02	0.02	1191	1193	3427	3433	4761781430	3	1	2	2	0	2	4626	3	0	29	29	0	0	952920	909928	969614	2450	53693	11	10592	47372	56224	9	0	0	1031135	1199033	0.24	0.13	0	0
aut_scm4_eur_sr	trios	Il1M	/psych/genetics_data/ripke/pgc/aut/1214_trios2caco/merge_caco_postqc/preimp_0115a/qc/pcain/qc/rework_s2m3_scm3/qc	Sat_Jan__3_10:18:33_2015	0.2	-10	-6	1.276	1.276	1.276	1.125	1.125	1.125	0.02	0.02	0.02	352	352	637	637	774248540	0	0	0	0	0	0	0	0	0	0	0	0	0	741469	741469	741469	0	0	0	0	0	0	0	0	0	782860	782860	5.3e-08	5.3e-08	5.3e-08	0
aut_sco2_eur_sr	trios	OMEX	/psych/genetics_data/ripke/pgc/aut/1214_trios2caco/merge_caco_postqc/preimp_0115a/qc	Fri_Jan__2_13:29:26_2015	0.2	-10	-6	2.878	2.878	2.879	2.476	2.476	2.477	0.02	0.02	0.02	617	617	1083	1083	898536700	0	0	0	0	0	0	0	0	0	0	0	0	0	522280	520713	522426	0	0	1610	147	0	0	8	7	0	528551	530308	0	0	0	0
aut_sco21_eur_sr	trios	OMEX	/psych/genetics_data/elise/new_ASD/SSC/parents_and_proband/autosomes/qc	Thu_Jan_14_06:03:49_2016	0.2	1e-10	1e-06	1.021	1.020	1.024	1.030	1.028	1.035	0.02	0.02	0.02	1077	1077	2137	2138	7001907910	0	0	0	1	0	0	1	0	0	7	7	0	0	1531041	1481696	1560907	20895	53774	0	31000	158462	11838	12	0	0	2178565	2440283	1	1	1	0
aut_sco2a_eur_sr	trios	OMEX	/psych/genetics_data/elise/new_ASD/SSC/norelationship/autosomes/qc	Thu_Jan_14_06:16:45_2016	0.2	1e-10	1e-06	0.650	0.651	0.651	0.438	0.439	0.440	0.02	0.02	0.02	1077	1077	3162	3163	9228485277	0	0	0	1	0	1	1	0	0	8	8	0	0	1530449	1477736	1560453	4525	74578	16	31087	145802	11746	11	3	0	2177043	2440283	0.52	0.54	1.5e-05	0
aut_sco3_eur_sr	trios	OMEX	/psych/genetics_data/ripke/pgc/aut/1214_trios2caco/merge_caco_postqc/preimp_0115a/qc/pcain/qc	Fri_Jan__2_18:36:36_2015	0.2	-10	-6	1.244	1.243	1.244	1.173	1.172	1.173	0.02	0.02	0.02	526	526	1083	1083	849909198	0	0	0	0	0	0	0	0	0	0	0	0	0	522214	520384	522426	0	0	1871	215	0	0	1	1	0	528222	530308	0	0	0	0
aut_swm2_eur_sr	trios	OMEX	/psych/genetics_data/ripke/pgc/aut/wave2_reimp_0115/qc	Sun_Jan__4_04:41:11_2015	0.2	-10	-6	1.207	1.207	1.201	1.115	1.115	1.115	0.02	0.02	0.02	312	322	2578	2580	1702816900	0	0	0	0	0	0	0	12	0	3	3	0	0	558729	558526	558722	1	25	185	6	1602	0	2	2	0	589210	591029	0	0	0	0
aut_swm3_eur_sr	trios	OMEX	/psych/genetics_data/ripke/pgc/aut/wave2_reimp_0115/qc/pcaer_SWM2/preimp_swm2.pcain/qc	Mon_Jan__5_06:18:52_2015	0.2	-10	-6	1.031	1.031	1.031	1.015	1.015	1.015	0.02	0.02	0.02	305	305	1201	1201	885174090	0	0	0	0	0	0	0	0	0	1	1	0	0	558802	558694	558821	0	5	113	19	1308	0	2	2	0	587765	589210	0	0	0	0
aut_w5c2_eur_sr	trios	AXIO	/psych/genetics_data/ripke/pgc/aut/wave2_reimp_0115/qc	Sun_Jan__4_04:41:11_2015	0.2	-10	-6	1.000	1.000	0.986	1.000	1.000	0.996	0.02	0.02	0.02	336	349	249	253	301584465	0	0	0	17	13	4	602	0	0	0	0	0	0	503550	501806	593345	4	11	1761	6066	67	126604	0	0	0	515529	650038	0.99	1	0.0084	0
mdd_stm3_eur_sr		A5.0	/psych/genetics_data/ripke/pgc/mdd/preimp_redo_jj_pfi_stard_0315/qc	Tue_Mar_24_12:13:08_2015	0.2	-10	-6	1.200	1.200	1.200	1.248	1.247	1.248	0.02	0.02	0.02	1237	1237	1237	1237	635761098	0	0	0	0	0	0	0	0	0	0	0	0	0	257412	256974	257536	1	5	432	124	0	0	2	2	0	256977	257539	0	0	0	0
bas_iri1_eur_sr		A6.0	/psych/genetics_data/ripke/pgc/cdg/bip_scz/0215a/bip_vs_scz/preimp/qc	Sat_Jun_20_07:52:32_2015	0.2	-10	-6	1.095	1.095	1.095	1.026	1.026	1.026	0.02	0.02	0.02	1581	1581	150	150	872829054	0	0	0	0	0	0	0	0	0	0	0	0	0	498300	494639	498310	7	0	3721	10	0	0	10	10	0	504234	507972	0	0	0	0
bas_nor1_eur_sr		A6.0	/psych/genetics_data/ripke/pgc/cdg/bip_scz/0215a/bip_vs_scz/preimp/qc	Sat_Jun_20_07:52:32_2015	0.2	-10	-6	1.050	1.048	1.050	1.021	1.020	1.021	0.02	0.02	0.02	377	377	473	473	451922050	0	0	0	0	0	0	0	0	0	0	0	0	0	496546	494935	499571	0	61	1727	3328	4376	0	0	0	0	531673	541144	1.4e-06	4.6e-06	1.8e-06	0
bas_swa1_eur_sr		A6.0	/psych/genetics_data/ripke/pgc/cdg/bip_scz/0215a/bip_vs_scz/preimp/qc	Sat_Jun_20_07:52:32_2015	0.2	-10	-6	1.033	1.033	1.033	1.042	1.042	1.042	0.02	0.02	0.02	2077	2077	898	898	1293259275	0	0	0	0	0	0	0	0	0	0	0	0	0	425856	425684	425861	0	10	164	5	0	0	2	2	0	434709	434888	2.6e-15	1.6e-15	2.6e-15	0
bas_usa1_eur_sr		A6.0	/psych/genetics_data/ripke/pgc/cdg/bip_scz/0215a/bip_vs_scz/preimp/qc	Sat_Jun_20_07:52:32_2015	0.2	-10	-6	1.011	1.011	1.011	1.023	1.023	1.023	0.02	0.02	0.02	2681	2681	1740	1740	2013243822	0	0	0	0	0	0	0	0	0	0	0	0	0	447126	447103	447126	0	23	0	0	0	0	0	0	0	455382	455405	0	0	0	0
bip_dub1_eur_sr		A6.0	/psych/genetics_data/ripke/pgc/bip/rework_0914/wave1/preimp_part1/qc	Sun_Sep_28_11:49:51_2014	0.2	-10	-6	1.087	1.087	1.091	1.022	1.022	1.023	0.02	0.02	0.02	150	150	796	799	624808404	0	0	0	3	0	3	3	0	0	0	0	0	0	649520	643868	696170	0	1	5803	39297	0	8957	0	0	0	660474	714532	0.015	0.089	0.026	0
